="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1334**",="",="0.1142*"
="",="(0.0492)",="",="(0.0500)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1736***",="",="0.1418**"
="",="(0.0452)",="",="(0.0452)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.0804",="",="0.0624"
="",="(0.0497)",="",="(0.0497)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1951***",="",="0.2005***"
="",="(0.0349)",="",="(0.0351)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.0268",="",="0.0396"
="",="(0.0257)",="",="(0.0258)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.0796**",="",="0.0818**"
="",="(0.0271)",="",="(0.0272)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1638**",="",="0.1746**"
="",="(0.0544)",="",="(0.0559)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1304***",="",="0.1287***"
="",="(0.0339)",="",="(0.0349)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1403***",="",="0.1319***"
="",="(0.0303)",="",="(0.0314)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="-0.0412",="",="-0.0230"
="",="(0.0293)",="",="(0.0298)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1507***",="",="0.1416***"
="",="(0.0331)",="",="(0.0337)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1125***",="",="0.1110***"
="",="(0.0230)",="",="(0.0234)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.0949***",="",="0.0925**"
="",="(0.0283)",="",="(0.0292)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1934***",="",="0.2261***"
="",="(0.0321)",="",="(0.0317)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1071**",="",="0.1054**"
="",="(0.0340)",="",="(0.0344)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="-0.0091",="",="0.0121"
="",="(0.0306)",="",="(0.0309)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="l3rta",="0.1893***",="",="0.1683***"
="",="(0.0375)",="",="(0.0375)"
